"X","SITE","Richardson_Slope","GEBCO_slope","resid","predict_steep","ISLAND","REGION"
97,"TUT-00342",6.206036518,2.72512316703796,3.48091335096204,"Shallow","Tutuila","SAMOA"
98,"TUT-00355",4.004053041,9.74070405960083,-5.73665101860083,"Shallow","Tutuila","SAMOA"
99,"TUT-00303",5.49479258,2.72512316703796,2.76966941296204,"Shallow","Tutuila","SAMOA"
100,"TUT-00276",5.695561254,1.78514504432678,3.91041620967322,"Shallow","Tutuila","SAMOA"
101,"TUT-00228",2.931003536,0.558809319511056,2.37219421648894,"Shallow","Tutuila","SAMOA"
102,"TUT-00379",7.366544233,0.980834245681763,6.38570998731824,"Shallow","Tutuila","SAMOA"
103,"TUT-00264",4.64428869,1.08384490013123,3.56044378986877,"Shallow","Tutuila","SAMOA"
104,"TUT-00357",5.084843427,2.17408204078674,2.91076138621326,"Shallow","Tutuila","SAMOA"
105,"TUT-00368",5.156630806,2.47925033171972,2.67738047428028,"Shallow","Tutuila","SAMOA"
106,"TUT-00326",3.071816512,0.424912147223949,2.64690436477605,"Shallow","Tutuila","SAMOA"
107,"TUT-00304",4.811447685,9.66899347305298,-4.85754578805298,"Shallow","Tutuila","SAMOA"
108,"TUT-00457",6.633655281,1.70652252435684,4.92713275664316,"Shallow","Tutuila","SAMOA"
109,"TUT-00299",5.022291084,1.59960353374481,3.42268755025519,"Shallow","Tutuila","SAMOA"
110,"TUT-00481",5.526571557,2.72512316703796,2.80144838996204,"Shallow","Tutuila","SAMOA"
111,"TUT-00343",6.107500556,2.68869829177856,3.41880226422144,"Shallow","Tutuila","SAMOA"
112,"TUT-00297",8.791943782,3.15642070770264,5.63552307429736,"Shallow","Tutuila","SAMOA"
113,"TUT-00272",7.186718222,2.68869829177856,4.49801993022144,"Shallow","Tutuila","SAMOA"
114,"TUT-00287",6.592123469,3.106480717659,3.485642751341,"Shallow","Tutuila","SAMOA"
115,"TUT-00278",5.294315945,2.45145225524902,2.84286368975098,"Shallow","Tutuila","SAMOA"
116,"TUT-00244",4.819010414,2.27364408969879,2.54536632430121,"Shallow","Tutuila","SAMOA"
117,"TUT-00246",4.981334308,1.90770268440247,3.07363162359753,"Shallow","Tutuila","SAMOA"
118,"TUT-00452",6.981452042,3.23986482620239,3.74158721579761,"Shallow","Tutuila","SAMOA"
119,"TUT-00305",7.882899148,3.0321124792099,4.8507866687901,"Shallow","Tutuila","SAMOA"
120,"TUT-00201",8.035864814,2.82276058197021,5.21310423202979,"Shallow","Tutuila","SAMOA"
121,"TUT-00423",8.314329402,3.8223021030426,4.4920272989574,"Shallow","Tutuila","SAMOA"
122,"TUT-00375",5.566019039,1.75181859731674,3.81420044168326,"Shallow","Tutuila","SAMOA"
123,"TUT-00373",5.594662895,2.47553300857544,3.11912988642456,"Shallow","Tutuila","SAMOA"
124,"TUT-00413",5.790538095,3.74742102622986,2.04311706877014,"Shallow","Tutuila","SAMOA"
125,"TUT-00367",5.984132144,2.35349500179291,3.63063714220709,"Shallow","Tutuila","SAMOA"
126,"TUT-00245",5.214071721,4.4444408416748,0.7696308793252,"Shallow","Tutuila","SAMOA"
127,"TUT-00320",6.744593296,1.82279163599014,4.92180166000986,"Shallow","Tutuila","SAMOA"
128,"TUT-00335",5.140865733,15.6271572113037,-10.4862914783037,"Shallow","Tutuila","SAMOA"
129,"TUT-00331",7.040734309,2.10392624139786,4.93680806760214,"Shallow","Tutuila","SAMOA"
130,"ROS-00222",32.45140489,20.4726409912109,11.9787638987891,"Steep","Rose","SAMOA"
131,"ROS-00227",34.86135349,24.2754611968994,10.5858922931006,"Steep","Rose","SAMOA"
132,"ROS-00217",34.68946514,24.2754611968994,10.4140039431006,"Steep","Rose","SAMOA"
133,"ROS-00228",39.65273249,28.5531425476074,11.0995899423926,"Steep","Rose","SAMOA"
134,"ROS-00210",41.64617846,24.8029880523682,16.8431904076318,"Steep","Rose","SAMOA"
135,"ROS-00225",34.46399752,24.2754611968994,10.1885363231006,"Steep","Rose","SAMOA"
136,"ROS-00236",33.89785511,24.2754611968994,9.6223939131006,"Steep","Rose","SAMOA"
137,"ROS-00231",31.05008519,26.9692459106445,4.0808392793555,"Steep","Rose","SAMOA"
138,"ROS-00241",37.89272211,23.1300338109334,14.7626882990666,"Steep","Rose","SAMOA"
139,"ROS-00215",34.50299097,24.0664033889771,10.4365875810229,"Steep","Rose","SAMOA"
140,"ROS-00235",22.98301544,23.018949508667,-0.0359340686670002,"Steep","Rose","SAMOA"
141,"ROS-00226",39.65273249,28.5531425476074,11.0995899423926,"Steep","Rose","SAMOA"
142,"ROS-00200",28.6566392,23.4381742477417,5.2184649522583,"Steep","Rose","SAMOA"
143,"ROS-00221",37.53923977,27.2539196014404,10.2853201685596,"Steep","Rose","SAMOA"
144,"ROS-00234",37.49992393,22.2229585647583,15.2769653652417,"Steep","Rose","SAMOA"
145,"ROS-00242",31.03537086,24.9669748942057,6.0683959657943,"Steep","Rose","SAMOA"
146,"ROS-00216",36.74260652,22.4123125076294,14.3302940123706,"Steep","Rose","SAMOA"
147,"ROS-00205",38.47997689,26.4023399353027,12.0776369546973,"Steep","Rose","SAMOA"
148,"ROS-00203",35.76066456,21.2961554527283,14.4645091072717,"Steep","Rose","SAMOA"
149,"ROS-00211",34.67409864,22.4352372487386,12.2388613912614,"Steep","Rose","SAMOA"
150,"ROS-00239",36.81196403,21.3238010406494,15.4881629893506,"Steep","Rose","SAMOA"
151,"ROS-00218",36.09469368,21.3238010406494,14.7708926393506,"Steep","Rose","SAMOA"
152,"ROS-00212",38.12634043,26.4023399353027,11.7240004946973,"Steep","Rose","SAMOA"
153,"ROS-00240",36.98448966,19.9117860794067,17.0727035805933,"Steep","Rose","SAMOA"
154,"TUT-00206",2.819979878,0.620932966470718,2.19904691152928,"Shallow","Tutuila","SAMOA"
155,"TUT-00219",7.948211559,1.78608393669128,6.16212762230872,"Shallow","Tutuila","SAMOA"
156,"TUT-00370",8.613082419,4.19116592407227,4.42191649492773,"Shallow","Tutuila","SAMOA"
157,"TUT-00293",5.552556909,2.12833788990974,3.42421901909026,"Shallow","Tutuila","SAMOA"
158,"TUT-00312",6.6522714,3.32632923126221,3.32594216873779,"Shallow","Tutuila","SAMOA"
159,"TUT-00302",6.588324259,13.490886370341,-6.902562111341,"Shallow","Tutuila","SAMOA"
160,"TUT-00412",6.22214934,15.6313195228577,-9.4091701828577,"Shallow","Tutuila","SAMOA"
161,"OFU-00201",6.475051796,6.90832281112671,-0.43327101512671,"Shallow","Ofu & Olosega","SAMOA"
162,"OLO-00203",11.53095274,26.2749729156494,-14.7440201756494,"Steep","Ofu & Olosega","SAMOA"
163,"OLO-00208",5.285413932,16.0441081523895,-10.7586942203895,"Shallow","Ofu & Olosega","SAMOA"
164,"OLO-00204",19.26865491,17.3208394050598,1.9478155049402,"Steep","Ofu & Olosega","SAMOA"
165,"OFU-00217",8.072018579,30.482400894165,-22.410382315165,"Shallow","Ofu & Olosega","SAMOA"
166,"OLO-00212",6.651833288,23.8818435668945,-17.2300102788945,"Shallow","Ofu & Olosega","SAMOA"
167,"OLO-00207",5.684527218,6.80180072784424,-1.11727350984424,"Shallow","Ofu & Olosega","SAMOA"
168,"OFU-00229",8.416952667,12.3796577453613,-3.9627050783613,"Shallow","Ofu & Olosega","SAMOA"
169,"OFU-00225",7.855378018,22.7834014892578,-14.9280234712578,"Shallow","Ofu & Olosega","SAMOA"
170,"OLO-00232",8.485374783,8.71003023783366,-0.224655454833661,"Shallow","Ofu & Olosega","SAMOA"
171,"OLO-00223",9.473815524,4.98247671127319,4.49133881272681,"Shallow","Ofu & Olosega","SAMOA"
172,"OLO-00210",19.49436685,17.3208394050598,2.1735274449402,"Steep","Ofu & Olosega","SAMOA"
173,"OFU-00206",10.52311249,34.7061519622803,-24.1830394722803,"Steep","Ofu & Olosega","SAMOA"
174,"TAU-00241",7.966134044,14.3349800109863,-6.3688459669863,"Shallow","Tau","SAMOA"
175,"TAU-00242",21.33020923,12.5419821739197,8.7882270560803,"Steep","Tau","SAMOA"
176,"TAU-00431",19.72714167,12.6845366160075,7.0426050539925,"Steep","Tau","SAMOA"
177,"TAU-00246",12.54647252,13.756706237793,-1.210233717793,"Steep","Tau","SAMOA"
178,"TAU-00219",6.936664177,16.3082024256388,-9.3715382486388,"Shallow","Tau","SAMOA"
179,"TAU-00214",8.123432357,12.7521158854167,-4.6286835284167,"Shallow","Tau","SAMOA"
180,"TAU-00213",9.516351873,22.5682512919108,-13.0518994189108,"Shallow","Tau","SAMOA"
181,"TAU-00437",19.23384189,12.1293398539225,7.1045020360775,"Steep","Tau","SAMOA"
182,"TAU-00216",23.06925638,3.0305597782135,20.0386966017865,"Steep","Tau","SAMOA"
183,"TAU-00207",24.632449,16.7854433059692,7.8470056940308,"Steep","Tau","SAMOA"
184,"TAU-00210",23.56110573,23.8306570053101,-0.2695512753101,"Steep","Tau","SAMOA"
185,"TAU-00230",24.60777609,29.093074798584,-4.485298708584,"Steep","Tau","SAMOA"
186,"TAU-00235",25.1863314,25.7079575856527,-0.5216261856527,"Steep","Tau","SAMOA"
187,"TAU-00201",18.09485001,21.2396984100342,-3.1448484000342,"Steep","Tau","SAMOA"
188,"TAU-00200",12.01217125,18.7267763614655,-6.7146051114655,"Steep","Tau","SAMOA"
189,"TAU-00206",24.32714523,20.8387133280436,3.4884319019564,"Steep","Tau","SAMOA"
190,"OFU-00408",8.029689714,24.1565011342367,-16.1268114202367,"Shallow","Ofu & Olosega","SAMOA"
191,"OFU-00228",9.920566636,8.99842357635498,0.92214305964502,"Shallow","Ofu & Olosega","SAMOA"
192,"OFU-00214",6.030911343,10.6105237007141,-4.5796123577141,"Shallow","Ofu & Olosega","SAMOA"
193,"OFU-00220",5.453359527,4.38737607002258,1.06598345697742,"Shallow","Ofu & Olosega","SAMOA"
194,"OFU-00219",6.032431858,12.7341451644897,-6.7017133064897,"Shallow","Ofu & Olosega","SAMOA"
195,"OFU-00211",5.87418588,15.292244275411,-9.418058395411,"Shallow","Ofu & Olosega","SAMOA"
196,"OFU-00417",5.554979731,13.6269407272339,-8.0719609962339,"Shallow","Ofu & Olosega","SAMOA"
197,"SWA-00234",41.43396294,23.2996263504028,18.1343365895972,"Steep","Swains","SAMOA"
198,"SWA-00232",41.55724601,27.1763877868652,14.3808582231348,"Steep","Swains","SAMOA"
199,"SWA-00231",41.93824117,23.2996263504028,18.6386148195972,"Steep","Swains","SAMOA"
200,"SWA-00400",41.21692886,27.1763877868652,14.0405410731348,"Steep","Swains","SAMOA"
201,"SWA-00233",40.8028414,19.4329277674357,21.3699136325643,"Steep","Swains","SAMOA"
202,"SWA-00403",41.08726332,23.5546296437581,17.5326336762419,"Steep","Swains","SAMOA"
203,"SWA-00227",41.14115483,21.5124244689941,19.6287303610059,"Steep","Swains","SAMOA"
204,"SWA-00229",40.70005584,25.942006111145,14.758049728855,"Steep","Swains","SAMOA"
205,"SWA-00210",37.84739902,24.7163143157959,13.1310847042041,"Steep","Swains","SAMOA"
206,"SWA-00219",41.55795906,18.9901418685913,22.5678171914087,"Steep","Swains","SAMOA"
207,"SWA-00214",40.18396933,21.0934705734253,19.0904987565747,"Steep","Swains","SAMOA"
208,"SWA-00215",41.49674734,19.7543678283691,21.7423795116309,"Steep","Swains","SAMOA"
209,"SWA-00224",41.42490717,22.49085521698,18.93405195302,"Steep","Swains","SAMOA"
210,"SWA-00225",41.05188793,19.895400762558,21.156487167442,"Steep","Swains","SAMOA"
211,"SWA-00226",41.39737319,20.2672421137492,21.1301310762508,"Steep","Swains","SAMOA"
212,"SWA-00217",40.64054236,21.0934705734253,19.5470717865747,"Steep","Swains","SAMOA"
213,"SWA-00205",39.24508168,23.1334533691406,16.1116283108594,"Steep","Swains","SAMOA"
214,"SWA-00201",41.98841846,25.323070526123,16.665347933877,"Steep","Swains","SAMOA"
215,"SWA-00230",38.94690864,23.1518840789795,15.7950245610205,"Steep","Swains","SAMOA"
216,"SWA-00208",39.23917974,23.1518840789795,16.0872956610205,"Steep","Swains","SAMOA"
217,"SWA-00223",38.47459922,26.2807445526123,12.1938546673877,"Steep","Swains","SAMOA"
218,"SWA-00216",39.3662104,21.3966798782349,17.9695305217651,"Steep","Swains","SAMOA"
219,"SWA-00235",41.2289013,25.323070526123,15.905830773877,"Steep","Swains","SAMOA"
220,"SWA-00213",38.73297368,26.2807445526123,12.4522291273877,"Steep","Swains","SAMOA"
221,"OLO-00218",6.448568442,3.23293113708496,3.21563730491504,"Shallow","Ofu & Olosega","SAMOA"
222,"OLO-00213",9.506673266,10.5043306350708,-0.997657369070801,"Shallow","Ofu & Olosega","SAMOA"
223,"OFU-00215",4.989573845,4.38737607002258,0.602197774977419,"Shallow","Ofu & Olosega","SAMOA"
224,"OFU-00227",7.297697765,24.1565011342367,-16.8588033692367,"Shallow","Ofu & Olosega","SAMOA"
225,"OFU-00233",10.04079933,5.72759819030762,4.31320113969238,"Steep","Ofu & Olosega","SAMOA"
226,"OFU-00221",6.659116584,16.2849063873291,-9.6257898033291,"Shallow","Ofu & Olosega","SAMOA"
227,"OFU-00421",7.273885912,13.6269407272339,-6.3530548152339,"Shallow","Ofu & Olosega","SAMOA"
228,"TAU-00217",16.5457478,18.3028233846029,-1.7570755846029,"Steep","Tau","SAMOA"
229,"TAU-00237",17.11638728,14.2924046516418,2.8239826283582,"Steep","Tau","SAMOA"
230,"TAU-00228",30.04148979,31.6779909133911,-1.6365011233911,"Steep","Tau","SAMOA"
231,"TAU-00442",27.66235177,24.4948635101318,3.1674882598682,"Steep","Tau","SAMOA"
232,"TAU-00215",12.03839336,21.3506520589193,-9.3122586989193,"Steep","Tau","SAMOA"
233,"TAU-00243",10.56387026,14.7051682472229,-4.1412979872229,"Steep","Tau","SAMOA"
234,"TAU-00224",24.8440225,25.1599006652832,-0.315878165283198,"Steep","Tau","SAMOA"
235,"TAU-00226",26.47944308,25.7079575856527,0.771485494347299,"Steep","Tau","SAMOA"
236,"TUT-00208",6.413553512,3.06458020210266,3.34897330989734,"Shallow","Tutuila","SAMOA"
237,"TUT-00371",5.566125585,2.85705053806305,2.70907504693695,"Shallow","Tutuila","SAMOA"
238,"TUT-00252",7.728920081,3.05654072761536,4.67237935338464,"Shallow","Tutuila","SAMOA"
239,"TUT-00471",8.240335407,2.85286235809326,5.38747304890674,"Shallow","Tutuila","SAMOA"
240,"TUT-00401",8.933868249,1.47030454874039,7.46356370025961,"Shallow","Tutuila","SAMOA"
241,"JAR-00120",36.47629004,24.6055393218994,11.8707507181006,"Steep","Jarvis","PRIAs"
242,"JAR-00121",30.2374219,26.9228668212891,3.3145550787109,"Steep","Jarvis","PRIAs"
243,"JAR-00110",32.80945757,26.9228668212891,5.8865907487109,"Steep","Jarvis","PRIAs"
244,"JAR-00103",29.38356528,21.6096515655518,7.7739137144482,"Steep","Jarvis","PRIAs"
245,"JAR-00100",38.45563494,22.9471006393433,15.5085343006567,"Steep","Jarvis","PRIAs"
246,"JAR-00102",34.74396219,20.5306727091471,14.2132894808529,"Steep","Jarvis","PRIAs"
247,"JAR-00101",35.35854871,23.5395984649658,11.8189502450342,"Steep","Jarvis","PRIAs"
248,"JAR-00111",30.79535879,22.5871315002441,8.2082272897559,"Steep","Jarvis","PRIAs"
249,"JAR-00119",35.21650984,21.5924956003825,13.6240142396175,"Steep","Jarvis","PRIAs"
250,"JAR-00109",35.91055502,20.5306727091471,15.3798823108529,"Steep","Jarvis","PRIAs"
251,"JAR-00113",7.716071807,13.1343650817871,-5.4182932747871,"Shallow","Jarvis","PRIAs"
252,"JAR-00106",11.66379607,25.1731386184692,-13.5093425484692,"Steep","Jarvis","PRIAs"
253,"JAR-00126",30.08706738,19.0273895263672,11.0596778536328,"Steep","Jarvis","PRIAs"
254,"JAR-00127",28.41558596,30.5172529220581,-2.1016669620581,"Steep","Jarvis","PRIAs"
255,"JAR-00105",31.44619379,25.1753787994385,6.2708149905615,"Steep","Jarvis","PRIAs"
256,"JAR-00112",31.02633291,26.7821645736694,4.2441683363306,"Steep","Jarvis","PRIAs"
257,"JAR-00104",22.27156521,21.8904860019684,0.381079208031597,"Steep","Jarvis","PRIAs"
258,"JAR-00116",1.641110259,19.7358074188232,-18.0946971598232,"Shallow","Jarvis","PRIAs"
259,"JAR-00129",29.08358609,19.2020626068115,9.8815234831885,"Steep","Jarvis","PRIAs"
260,"JAR-00128",0.862677348,13.0353991985321,-12.1727218505321,"Shallow","Jarvis","PRIAs"
261,"JAR-00114",18.66788367,21.8904860019684,-3.2226023319684,"Steep","Jarvis","PRIAs"
262,"JAR-00108",23.43750336,17.9519087473551,5.4855946126449,"Steep","Jarvis","PRIAs"
263,"JAR-00117",5.684967542,14.2645435333252,-8.5795759913252,"Shallow","Jarvis","PRIAs"
264,"JAR-00124",0.796877102,9.28683948516846,-8.48996238316846,"Shallow","Jarvis","PRIAs"
265,"JAR-00118",0.919314605,19.7358074188232,-18.8164928138232,"Shallow","Jarvis","PRIAs"
266,"JAR-00107",21.08630778,18.2026755809784,2.8836321990216,"Steep","Jarvis","PRIAs"
267,"JAR-00422",13.05395126,28.0637060801188,-15.0097548201188,"Steep","Jarvis","PRIAs"
268,"JAR-00125",16.13947668,20.8009980519613,-4.6615213719613,"Steep","Jarvis","PRIAs"
269,"JAR-00122",22.38909515,16.6429226398468,5.7461725101532,"Steep","Jarvis","PRIAs"
270,"JAR-00115",19.25251196,18.7943607966105,0.458151163389498,"Steep","Jarvis","PRIAs"
271,"PAL-00108",15.06518088,22.1922248204549,-7.1270439404549,"Steep","Palmyra","PRIAs"
272,"PAL-00144",23.74591361,22.2502772013346,1.4956364086654,"Steep","Palmyra","PRIAs"
273,"PAL-00111",14.79944861,27.3169984817505,-12.5175498717505,"Steep","Palmyra","PRIAs"
274,"PAL-00110",14.09031833,21.6173261006673,-7.5270077706673,"Steep","Palmyra","PRIAs"
275,"PAL-00406",18.65990612,18.8498840332031,-0.189977913203101,"Steep","Palmyra","PRIAs"
276,"PAL-00101",14.14465831,18.8498840332031,-4.7052257232031,"Steep","Palmyra","PRIAs"
