"METHOD","REGION","OBS_YEAR","ISLAND","PERM_SITE","CLIMATE_STATION_YN","SITE","REEF_ZONE","DEPTH_BIN","SITEVISITID","CCA","CORAL","EMA","HALI","I","MA","SC","SED","TURF","N","new.N","CCA_CORAL","BSR","MISSIONID","DATE_","SEC_NAME","new_MIN_DEPTH_M","new_MAX_DEPTH_M","LATITUDE_LOV","LONGITUDE_LOV","ANALYSIS_YEAR","ANALYSIS_SCHEME","TRANSECT_PHOTOS","EXCLUDE_FLAG","Oceanography","OCC_SITEID"
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00009","Forereef","Mid",5844,9.81818181818182,14.5454545454545,0.727272727272727,0,3.27272727272727,0,42.5454545454545,1.09090909090909,28,300,275,24.3636363636364,0.87012987012987,"SBP1310",2013-06-20,"BAU",11.2,17.6,-8.41959156,126.4270889,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00019","Forereef","Shallow",5859,5.17241379310345,6.20689655172414,0,0,0,0,35.5172413793103,8.27586206896552,44.8275862068966,310,290,11.3793103448276,0.253846153846154,"SBP1310",2013-06-23,"BAU",4.8,5.5,-8.44240752,126.4775978,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00022","Forereef","Mid",5860,1.19047619047619,14.2857142857143,0,0,2.97619047619048,0.595238095238095,1.78571428571429,0,79.1666666666667,300,168,15.4761904761905,0.194029850746269,"SBP1310",2013-06-23,"BAU",10,20.9,-8.42210362,126.4412227,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00028","Forereef","Shallow",5862,3.83275261324042,8.71080139372822,3.13588850174216,1.04529616724739,0.696864111498258,0,1.04529616724739,1.74216027874564,79.7909407665505,300,287,12.5435540069686,0.157205240174672,"SBP1310",2013-06-23,"BAU",3.6,5.8,-8.43897052,126.4675049,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00032","Forereef","Shallow",5850,3.26086956521739,18.8405797101449,1.44927536231884,0,3.98550724637681,0,6.52173913043478,0,65.9420289855072,300,276,22.1014492753623,0.335164835164835,"SBP1310",2013-06-20,"BAU",2.8,5.7,-8.42236673,126.3717493,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00034","Forereef","Mid",5849,0.325732899022801,7.16612377850163,1.30293159609121,0,7.16612377850163,0,5.21172638436482,0,78.8273615635179,310,307,7.49185667752443,0.0950413223140496,"SBP1310",2013-06-20,"BAU",11.2,13.7,-8.44099198,126.3444937,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00039","Forereef","Mid",5847,3.3112582781457,19.5364238410596,2.64900662251656,0,4.63576158940397,0.33112582781457,40.7284768211921,0.33112582781457,28.476821192053,310,302,22.8476821192053,0.793103448275862,"SBP1310",2013-06-20,"BAU",4.2,10.9,-8.42505606,126.3839697,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00048","Forereef","Shallow",5845,1.33779264214047,19.3979933110368,0,0,0,0,32.7759197324415,18.3946488294314,28.0936454849498,310,299,20.7357859531773,0.738095238095238,"SBP1310",2013-06-20,"BAU",3.9,5.2,-8.44955703,126.3291798,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00053","Forereef","Shallow",5848,4.9645390070922,14.5390070921986,0.709219858156028,0,0,0,6.38297872340426,8.86524822695035,64.5390070921986,310,282,19.5035460992908,0.302197802197802,"SBP1310",2013-06-20,"BAU",2.4,2.7,-8.41693693,126.4109279,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BAU-00059","Forereef","Mid",5846,0,17.4917491749175,0,0,0.33003300330033,0,6.6006600660066,3.96039603960396,71.6171617161716,310,303,17.4917491749175,0.244239631336406,"SBP1310",2013-06-20,"BAU",7.6,12.7,-8.42592719,126.3600583,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2014,"Timor Leste",0,0,"BOB-00002","UNKNOWN","UNKNOWN",7422,7.02479338842975,12.396694214876,5.78512396694215,0,2.89256198347107,0,2.89256198347107,2.89256198347107,66.1157024793389,260,242,19.4214876033058,0.29375,"MP1419",2014-09-22,"Timor Leste",NA,NA,-8.85329,125.01327,"2014",NA,"-1",-1,1,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00003","Forereef","Mid",5802,0,18.4818481848185,0.66006600660066,0,0.66006600660066,0,25.4125412541254,3.3003300330033,51.4851485148515,310,303,18.4818481848185,0.358974358974359,"SBP1310",2013-06-14,"BOB",7,9.1,-8.84023553,125.0263596,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00005","Forereef","Mid",5799,11.1111111111111,15.4882154882155,3.7037037037037,0,6.3973063973064,0,7.40740740740741,8.08080808080808,47.8114478114478,310,297,26.5993265993266,0.556338028169014,"SBP1310",2013-06-14,"BOB",11,13,-8.84869421,125.0176093,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00007","Forereef","Mid",5819,0,17.9054054054054,0,0.337837837837838,0,0.337837837837838,18.5810810810811,0,62.8378378378378,310,296,17.9054054054054,0.283422459893048,"SBP1310",2013-06-17,"BOB",7.9,10.6,-8.8057616,125.0870618,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00011","Forereef","Mid",5798,1.01351351351351,23.3108108108108,0.675675675675676,0,1.35135135135135,0,25,0,48.6486486486487,310,296,24.3243243243243,0.5,"SBP1310",2013-06-14,"BOB",7.6,9.1,-8.8363796,125.0320512,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00014","Forereef","Shallow",5795,4.59363957597173,1.06007067137809,0,0,0.353356890459364,0.706713780918728,0.353356890459364,25.7950530035336,67.1378091872791,300,283,5.65371024734982,0.0833333333333333,"SBP1310",2013-06-14,"BOB",4.1,5.3,-8.85612527,125.0118115,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00017","Forereef","Shallow",5797,0.701754385964912,1.75438596491228,0.701754385964912,0,4.21052631578947,0.350877192982456,1.05263157894737,0.350877192982456,90.8771929824562,290,285,2.45614035087719,0.0269230769230769,"SBP1310",2013-06-14,"BOB",3.6,4.6,-8.86227038,125.0066292,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00019","Forereef","Shallow",5801,1.99335548172757,7.30897009966777,2.99003322259136,0.664451827242525,5.64784053156146,8.30564784053156,0.332225913621262,19.9335548172757,52.8239202657807,310,301,9.30232558139535,0.152173913043478,"SBP1310",2013-06-14,"BOB",2.7,4.2,-8.85854672,125.0100494,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00020","Forereef","Mid",5794,5.74712643678161,34.4827586206897,0.383141762452107,0,0.766283524904214,0,10.727969348659,4.21455938697318,43.6781609195402,300,261,40.2298850574713,0.921052631578947,"SBP1310",2013-06-14,"BOB",9,11,-8.8441487,125.0222252,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00023","Forereef","Shallow",5800,5.84415584415584,18.1818181818182,0.324675324675325,0,0,0.649350649350649,4.22077922077922,0.324675324675325,70.4545454545455,310,308,24.025974025974,0.337899543378995,"SBP1310",2013-06-14,"BOB",4.8,7,-8.83191691,125.0353305,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00080","Forereef","Shallow",5820,4.56140350877193,37.5438596491228,0.701754385964912,0.701754385964912,0.701754385964912,0.350877192982456,13.6842105263158,3.50877192982456,38.2456140350877,300,285,42.1052631578947,1.09090909090909,"SBP1310",2013-06-17,"BOB",2.4,3.3,-8.82138127,125.068406,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00082","Forereef","Mid",5825,0,12.5,0,0,1.31578947368421,0,20.0657894736842,0,66.1184210526316,310,304,12.5,0.189054726368159,"SBP1310",2013-06-17,"BOB",5,9.8,-8.81575081,125.0779335,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00086","Forereef","Mid",5826,0,0.72202166064982,0.36101083032491,0,1.44404332129964,0.36101083032491,16.6064981949458,0.36101083032491,80.14440433213,290,277,0.72202166064982,0.00896860986547085,"SBP1310",2013-06-17,"BOB",6.5,13.9,-8.82752093,125.0531903,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00087","Forereef","Mid",5822,1.70648464163823,4.43686006825939,0,0,0,0,31.3993174061433,0.68259385665529,61.7747440273038,300,293,6.14334470989761,0.0994475138121547,"SBP1310",2013-06-17,"BOB",10.9,15.4,-8.82624345,125.0459931,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00088","Forereef","Shallow",5823,1.02389078498294,9.89761092150171,0.341296928327645,0,0,0,40.2730375426621,1.02389078498294,47.4402730375427,300,293,10.9215017064846,0.23021582733813,"SBP1310",2013-06-17,"BOB",4.7,6.4,-8.82392652,125.0581032,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00092","Forereef","Shallow",5821,0.344827586206897,15.5172413793103,0.344827586206897,0.344827586206897,0.344827586206897,0,56.2068965517241,7.93103448275862,18.9655172413793,300,290,15.8620689655172,0.836363636363636,"SBP1310",2013-06-17,"BOB",4.8,5.4,-8.82496663,125.0560503,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"BOB-00099","Forereef","Mid",5824,0.727272727272727,16.7272727272727,0,0,2.54545454545455,0.363636363636364,22.5454545454545,4,53.0909090909091,310,275,17.4545454545455,0.326530612244898,"SBP1310",2013-06-17,"BOB",7.9,14.8,-8.80998289,125.0828694,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00001","Forereef","Shallow",5891,5.32319391634981,23.1939163498099,0.380228136882129,0,0.760456273764259,0,36.1216730038023,12.1673003802281,22.0532319391635,310,263,28.5171102661597,1.29310344827586,"SBP1310",2013-06-27,"DIL",5,6,-8.49514,125.8125949,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2014,"Timor Leste",0,0,"DIL-00002","UNKNOWN","UNKNOWN",7421,2.10084033613445,26.890756302521,1.68067226890756,2.52100840336134,5.46218487394958,0.840336134453782,21.8487394957983,5.04201680672269,33.6134453781513,300,238,28.9915966386555,0.841463414634146,"MP1419",2014-10-09,"Timor Leste",NA,NA,-8.55465,125.49913,"2014",NA,"-1",-1,1,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00004","Forereef","Mid",5747,6.01503759398496,10.5263157894737,4.13533834586466,0,4.13533834586466,1.12781954887218,40.6015037593985,11.2781954887218,22.1804511278195,300,266,16.5413533834586,0.709677419354839,"SBP1310",2013-06-05,"DIL",9,13.5,-8.49895746,125.7802917,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00005","Forereef","Shallow",5746,6.3758389261745,14.7651006711409,0.335570469798658,0,0.671140939597315,0.335570469798658,33.5570469798658,22.8187919463087,21.1409395973154,310,298,21.1409395973154,0.984375,"SBP1310",2013-06-05,"DIL",3.5,6,-8.4986754,125.7932087,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00007","Forereef","Shallow",5732,3.37837837837838,7.09459459459459,0.337837837837838,0,1.35135135135135,0.337837837837838,7.43243243243243,1.35135135135135,78.7162162162162,300,296,10.472972972973,0.132478632478632,"SBP1310",2013-06-04,"DIL",4.5,6.3,-8.51840138,125.6212158,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00008","Forereef","Mid",5748,0.469483568075117,12.2065727699531,0.469483568075117,0,5.63380281690141,0,27.6995305164319,22.5352112676056,30.9859154929577,220,213,12.6760563380282,0.409090909090909,"SBP1310",2013-06-05,"DIL",7.3,10.3,-8.51271417,125.7465844,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00010","Forereef","Mid",5735,5.94795539033457,24.907063197026,0.371747211895911,2.23048327137546,5.57620817843866,2.23048327137546,15.9851301115242,13.7546468401487,28.996282527881,300,269,30.8550185873606,0.988095238095238,"SBP1310",2013-06-04,"DIL",6,11.9,-8.52391566,125.6966602,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00012","Forereef","Mid",5894,2.38907849829352,13.3105802047782,2.73037542662116,0.341296928327645,2.04778156996587,0,17.0648464163823,38.2252559726962,23.8907849829352,310,293,15.6996587030717,0.657142857142857,"SBP1310",2013-06-27,"DIL",9.7,15.7,-8.51266094,125.7440075,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00018","Forereef","Shallow",5749,2.94117647058824,16.1764705882353,2.20588235294118,0,0.367647058823529,1.10294117647059,34.1911764705882,8.82352941176471,34.1911764705882,300,272,19.1176470588235,0.541666666666667,"SBP1310",2013-06-05,"DIL",5.2,6.8,-8.52016878,125.6125487,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00021","Forereef","Shallow",5745,5.92334494773519,18.4668989547038,0.348432055749129,0,0.348432055749129,0.696864111498258,28.2229965156794,4.52961672473868,41.4634146341463,300,287,24.390243902439,0.578512396694215,"SBP1310",2013-06-05,"DIL",5.5,6,-8.48377934,125.8335085,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00022","Forereef","Shallow",5734,5.24475524475525,16.4335664335664,0.34965034965035,0.34965034965035,0,0,25.8741258741259,6.99300699300699,44.7552447552448,300,286,21.6783216783217,0.484375,"SBP1310",2013-06-04,"DIL",1,4.3,-8.52222185,125.6472684,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00024","Forereef","Mid",5733,2.06185567010309,7.21649484536082,0.687285223367698,0.343642611683849,0.687285223367698,0,22.680412371134,23.7113402061856,42.6116838487972,300,291,9.27835051546392,0.217741935483871,"SBP1310",2013-06-04,"DIL",8,15.4,-8.52424708,125.6794229,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00026","Forereef","Mid",5744,13.9194139194139,6.95970695970696,6.22710622710623,1.46520146520147,2.56410256410256,0,2.56410256410256,24.5421245421245,41.7582417582418,300,273,20.8791208791209,0.5,"SBP1310",2013-06-05,"DIL",13.8,16.2,-8.48451426,125.8181865,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00031","Forereef","Shallow",5896,4.82758620689655,12.4137931034483,0,0,0.344827586206897,0,53.448275862069,9.6551724137931,19.3103448275862,300,290,17.2413793103448,0.892857142857143,"SBP1310",2013-06-27,"DIL",3,3.9,-8.49944537,125.7914566,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"DIL-00032","Forereef","Mid",5897,3.01003344481605,12.3745819397993,1.33779264214047,0,4.0133779264214,1.00334448160535,10.7023411371237,1.33779264214047,66.2207357859532,310,299,15.3846153846154,0.228855721393035,"SBP1310",2013-06-27,"DIL",8.2,13.3,-8.50041163,125.7754119,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2014,"Timor Leste",0,0,"LAU-00001","UNKNOWN","UNKNOWN",7426,3.30882352941176,43.75,1.47058823529412,1.47058823529412,5.14705882352941,4.77941176470588,15.0735294117647,0.367647058823529,24.6323529411765,300,272,47.0588235294118,1.6,"MP1419",2014-10-06,"Timor Leste",NA,NA,-8.34638,127.161,"2014",NA,"-1",-1,1,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00002","Forereef","Mid",5852,11.3725490196078,42.3529411764706,11.3725490196078,0,0.392156862745098,0,1.17647058823529,0,33.3333333333333,300,255,53.7254901960784,1.61176470588235,"SBP1310",2013-06-21,"LAU",10.2,16.4,-8.37661394,127.2324024,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00004","Forereef","Mid",5856,5.30035335689046,19.0812720848057,2.82685512367491,0,3.18021201413428,0.706713780918728,18.3745583038869,1.06007067137809,49.469964664311,310,283,24.3816254416961,0.485915492957746,"SBP1310",2013-06-21,"LAU",7.3,15.8,-8.33833396,127.1736055,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2014,"Timor Leste",0,0,"LAU-00005","UNKNOWN","UNKNOWN",7425,1.70212765957447,36.5957446808511,0,28.0851063829787,3.40425531914894,18.2978723404255,0.425531914893617,0.425531914893617,11.063829787234,270,235,38.2978723404255,1.30434782608696,"MP1419",2014-10-03,"Timor Leste",NA,NA,-8.4108,127.31222,"2014",NA,"-1",-1,1,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00006","Forereef","Mid",5880,2.9126213592233,10.0323624595469,2.9126213592233,0,3.23624595469256,0,2.26537216828479,9.06148867313916,69.57928802589,310,309,12.9449838187702,0.186046511627907,"SBP1310",2013-06-26,"LAU",8.5,11.2,-8.44650786,127.3202945,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00008","Forereef","Mid",5854,2.3489932885906,12.0805369127517,0.335570469798658,0,1.34228187919463,0,0.671140939597315,17.7852348993289,65.4362416107383,310,298,14.4295302013423,0.220512820512821,"SBP1310",2013-06-21,"LAU",13.4,19,-8.36473268,127.2218369,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00009","Forereef","Shallow",5872,1.31578947368421,23.6842105263158,0.328947368421053,0,0,0.657894736842105,15.1315789473684,3.61842105263158,55.2631578947368,310,304,25,0.447058823529412,"SBP1310",2013-06-25,"LAU",4.5,5.5,-8.3869681,127.2783898,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00010","Forereef","Shallow",5884,5.88235294117647,6.22837370242214,7.95847750865052,0,0,1.03806228373702,0,2.07612456747405,76.8166089965398,300,289,12.1107266435986,0.155555555555556,"SBP1310",2013-06-26,"LAU",2.1,3,-8.36661399,127.1158299,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00011","Forereef","Mid",5883,4.76190476190476,8.42490842490843,2.1978021978022,0.366300366300366,2.1978021978022,1.83150183150183,4.76190476190476,34.7985347985348,40.6593406593407,300,273,13.1868131868132,0.310344827586207,"SBP1310",2013-06-26,"LAU",7.3,9.8,-8.36461097,127.1346149,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00013","Forereef","Shallow",5870,13.961038961039,22.4025974025974,0.974025974025974,0,0,0,0,0,62.6623376623377,310,308,36.3636363636364,0.580310880829015,"SBP1310",2013-06-25,"LAU",1.8,4.5,-8.38282577,127.2531363,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00018","Forereef","Shallow",5857,1.34680134680135,25.2525252525253,1.68350168350168,1.68350168350168,0,2.69360269360269,15.8249158249158,12.1212121212121,39.3939393939394,310,297,26.5993265993266,0.632,"SBP1310",2013-06-21,"LAU",3.3,6.7,-8.35637575,127.1527105,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00022","Forereef","Mid",5871,10.4265402843602,24.6445497630332,9.00473933649289,0.4739336492891,2.8436018957346,1.4218009478673,10.4265402843602,7.10900473933649,33.6492890995261,230,211,35.0710900473934,1,"SBP1310",2013-06-25,"LAU",9,19,-8.38647449,127.2708476,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00024","Forereef","Shallow",5885,19.5945945945946,26.6891891891892,0.675675675675676,0.675675675675676,14.8648648648649,0.337837837837838,5.06756756756757,0,32.0945945945946,300,296,46.2837837837838,1.42708333333333,"SBP1310",2013-06-26,"LAU",3.9,6.1,-8.36289394,127.0814288,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00026","Forereef","Mid",5853,5.92334494773519,25.0871080139373,2.4390243902439,0,1.39372822299652,1.04529616724739,5.92334494773519,1.39372822299652,56.794425087108,300,287,31.0104529616725,0.536144578313253,"SBP1310",2013-06-21,"LAU",10.1,20,-8.34634488,127.1610022,"2013","RAMP_BASIC","-1",-1,0,NA
"CPCE","CT",2013,"Timor Leste",0,0,"LAU-00029","Forereef","Mid",5889,4.95049504950495,33.993399339934,33.003300330033,1.32013201320132,2.97029702970297,0.33003300330033,7.59075907590759,0,15.8415841584158,310,303,38.9438943894389,2.40816326530612,"SBP1310",2013-06-26,"LAU",8.6,15,-8.36219665,127.0751691,"2013","RAMP_BASIC","-1",-1,0,NA
